173083392	169225763
160819606	154683220
163391289	153590385
192421241	173409141
165619138	183620614
182085844	186631875
151516029	151043957
177841780	177304182
156031094	185906198
197151812	161425425
140956047	195418618
131198461	180845213
191849662	179159316
91332891	130342533
130448734	125922359
137113288	171247730
177943116	179009896
192437581	200758526
179817833	191486343
169114934	171952936
179817833	171827265
195151031	194358793
112893639	198271706
145401110	179514960
178849743	186870738
143700237	183639308
168523004	103532943
195809598	187040376
189957116	176960359
141216072	145733720
168373936	176100072
97762518	149494468
190289134	191314381
128070163	129792903
191505079	190108116
120660088	118160068
163717220	158983309
201083184	191819376
188192442	175464397
191855625	191819376
192209392	196573142
133866132	173439148
161146651	93410653
70515733	88753493
172937578	184097498
180143855	164936329
195005246	194384495
196911918	200478112
167971092	151870951
181354917	178894090
200202396	183234018
192515040	193173165
141240512	162026684
179486374	161404768
159518671	192316109
120528702	183278320
186951961	157772187
194229858	189545263
195136008	197200082
116467967	123604464
174685457	199651072
190867176	190868088
180886000	61063443
183628748	192036571
111181360	193064929
159817585	96012975
136479267	81738053
171141724	186070047
174626134	173391494
185028461	182566684
139941662	86862685
157982597	195770127
177074348	187520751
145008246	66513418
196163963	194740941
184667628	184441963
180486591	181510621
179674980	189152813
185137167	184985962
188921267	189370237
180143855	184516572
156527711	145300532
180358689	191213572
129737728	183685055
140734284	154397902
199965837	201430850
196086775	175711602
185174324	198861600
178228098	155860532
192285208	143896601
169825327	188605834
147737628	176565299
198315736	186095247
120319479	191530360
185687497	143358959
188394015	37272741
194788049	194788449
196343016	196343223
110799291	103625021
177311809	142607290
180498361	185216616
176853117	178862192
181903755	181903095
183376442	42768901
179084414	185256499
184193703	183639308
166465822	163605745
192474077	191500499
200796823	201816480
175859959	175879572
136469444	180885415
173083392	169219126
186242665	179037628
192923488	146024247
194511231	177108375
118164217	83637305
185040880	181249152
183998675	183490012
185670131	182675757
76425472	129772973
157665460	188843682
190903156	188748270
188218820	192606942
153773860	184374731
144923126	181001486
184193703	185302946
177493879	189886753
132556401	133720049
190274230	178862186
193511884	179998100
160366552	188211984
192925634	106122658
191459292	192417340
192607873	191500499
160598911	181164776
186816402	159111889
199317382	195424103
199963357	199777290
147497570	154297520
189280548	173477577
195460591	200377810
184093482	164302641
194688551	195894297
184934263	174093734
149639207	148483142
174785785	175717546
