1	!	684518
2	.	528820
3	and	169425
4	,	163343
5	love	163158
6	set	154293
7	so	143534
8	this	135946
9	i	131794
10	the	121899
11	)	120569
12	you	111699
13	:	110724
14	a	76163
15	it	73644
16	dear	72689
17	is	72224
18	look	71635
19	great	70099
20	congrats	57612
21	style	56187
22	my	54161
23	thank	49921
24	on	48574
25	amazing	48176
26	beautiful	47510
27	your	45723
28	to	43530
29	for	42976
30	lovely	39838
31	gorgeous	38876
32	...	38664
33	fab	38268
34	<	37838
35	outfit	37750
36	much	36331
37	very	31415
38	cool	30243
39	thanks	29889
40	3	29849
41	perfect	29626
42	of	28676
43	sweetie	28665
44	chic	28494
45	cute	27477
46	wow	27452
47	that	26338
48	such	26255
49	like	25927
50	nice	25918
51	in	25849
52	pretty	25739
53	wonderful	24175
54	fabulous	23134
55	too	23011
56	sets	22245
57	are	22030
58	fantastic	21060
59	top	20834
60	awesome	20777
61	with	20670
62	congratulations	19652
63	all	19328
64	me	18451
65	's	17764
66	really	17553
67	here	17308
68	stylish	17157
69	have	17134
70	xx	16969
71	join	16765
72	combo	16592
73	ts	16463
74	please	15441
75	;	15102
76	&	14989
77	stunning	14834
78	just	13991
79	colors	13722
80	well	13696
81	-	13472
82	color	13339
83	layout	12909
84	fashion	12839
85	happy	12483
86	super	12399
87	(	12302
88	d	12028
89	what	11978
90	sweet	11834
91	styling	11671
92	win	11626
93	'm	11544
94	x	11309
95	oh	11238
96	contest	11189
97	#	11157
98	skirt	10811
99	totally	10690
100	casual	10634
101	how	10426
102	as	10306
103	adore	10271
104	elegant	10128
105	looks	10005
106	friend	9856
107	good	9749
108	one	9667
109	but	9562
110	summer	9507
111	darling	9491
112	always	9429
113	u	9346
114	shoes	9324
115	wear	9234
116	do	9179
117	adorable	9080
118	would	8898
119	n't	8883
120	xoxo	8744
121	absolutely	8563
122	bag	8439
123	an	8409
124	combination	8197
125	fun	8047
126	mix	7994
127	those	7865
128	omg	7814
129	be	7804
130	out	7743
131	classy	7692
132	outstanding	7466
133	soo	7420
134	enter	7393
135	hun	6998
136	're	6979
137	can	6957
138	comments	6896
139	follow	6668
140	sooo	6611
141	xo	6593
142	colours	6295
143	want	6209
144	new	6175
145	pls	6169
146	done	6120
147	~	6116
148	lot	5850
149	jacket	5840
150	fall	5740
151	perfection	5728
152	day	5685
153	fresh	5673
154	work	5601
155	was	5534
156	haha	5411
157	coat	5409
158	lol	5360
159	check	5321
160	job	5272
161	these	5170
162	hope	5134
163	weekend	5132
164	if	5114
165	simply	5110
166	xxx	4948
167	'	4933
168	¤	4928
169	white	4920
170	simple	4834
171	black	4817
172	''	4808
173	at	4721
174	yay	4711
175	outfits	4704
176	not	4595
177	☆	4557
178	back	4555
179	``	4539
180	everything	4503
181	soft	4488
182	styled	4482
183	ensemble	4455
184	boots	4426
185	we	4412
186	part	4385
187	dress	4354
188	yes	4301
189	taglist	4290
190	brilliant	4276
191	feminine	4260
192	honey	4248
193	divine	4224
194	hugs	4209
195	glad	4196
196	know	4152
197	splendid	4099
198	together	4079
199	pink	4038
200	superb	3994
201	denim	3974
202	design	3945
203	spring	3918
204	edgy	3916
205	no	3855
206	welcome	3845
207	am	3830
208	they	3822
209	kind	3813
210	excellent	3813
211	aww	3797
212	also	3789
213	way	3770
214	see	3690
215	them	3673
216	comment	3606
217	street	3602
218	hi	3544
219	place	3537
220	marvelous	3535
221	from	3534
222	about	3531
223	c	3479
224	best	3467
225	appreciate	3447
226	time	3432
227	sweater	3424
228	luck	3371
229	creation	3359
230	ladies	3333
231	her	3321
232	n	3316
233	colour	3309
234	will	3286
235	point	3267
236	up	3265
237	make	3252
238	birthday	3213
239	think	3208
240	33	3159
241	loving	3103
242	go	3103
243	she	3094
244	match	3084
245	incredible	3074
246	draga	3058
247	now	3033
248	red	3032
249	did	3031
250	comfy	3014
251	perfectly	3002
252	've	2998
253	o	2991
254	trendy	2930
255	could	2918
256	winter	2917
257	both	2903
258	blue	2896
259	shorts	2875
